Trip_ID	LengthInFeet	DurationInSeconds	TotalAverageSpeed
18132914_2008-05-03 14:23:44.000:	2344.6	1663	1.40986
18133638_2008-05-03 14:23:54.000:	1258.98	576	2.18574
18133170_2008-05-03 14:26:28.000:	1583.56	978	1.61919
18133620_2008-05-03 14:30:16.000:	2009.67	1779	1.12967
18133408_2008-05-03 14:34:08.000:	862.433	645	1.33711
18133635_2008-05-03 14:36:37.000:	3130	1727	1.81239
18133607_2008-05-03 14:43:01.000:	1416.67	1022	1.38617
18133737_2008-05-03 14:43:43.000:	1478.42	1062	1.39211
18133736_2008-05-03 14:45:06.000:	3069.83	2051	1.49675
18133624_2008-05-03 14:46:46.000:	4062.45	2441	1.66426
18133610_2008-05-03 15:08:47.000:	1615.58	1378	1.17241
18133165_2008-05-03 15:10:08.000:	1002.46	548	1.82931
18133670_2008-05-03 15:17:19.000:	4723.13	3148	1.50036
18133926_2008-05-03 15:18:03.000:	2079.18	1231	1.68902
18133540_2008-05-03 15:20:18.000:	1290.62	978	1.31965
18134009_2008-05-03 15:26:15.000:	4439.71	2750	1.61444
18133549_2008-05-03 15:30:06.000:	1218.83	761	1.60162
18133700_2008-05-03 15:42:23.000:	1313.92	731	1.79742
18133517_2008-05-03 15:42:25.000:	1842.75	891	2.06819
18133408_2008-05-03 15:42:48.000:	1215.86	688	1.76723
18133676_2008-05-03 15:48:40.000:	1459.38	1220	1.19621
18133412_2008-05-03 15:52:34.000:	1385.97	755	1.83573
18133165_2008-05-03 15:56:31.000:	1301.6	867	1.50127
18134009_2008-05-03 15:56:53.000:	943.347	435	2.16861
18133700_2008-05-03 15:58:24.000:	844.581	607	1.3914
18133170_2008-05-03 16:00:42.000:	1162.79	766	1.51801
18133438_2008-05-03 16:01:12.000:	1705.74	1300	1.31211
18133766_2008-05-03 16:02:27.000:	2151.55	1485	1.44885
18133417_2008-05-03 16:03:40.000:	1620.5	984	1.64685
18133639_2008-05-03 16:03:46.000:	1728.82	993	1.741
18133610_2008-05-03 16:06:03.000:	2079.2	1415	1.4694
18133736_2008-05-03 16:12:12.000:	1766.69	1064	1.66042
18133549_2008-05-03 16:15:24.000:	1176.25	686	1.71465
18133529_2008-05-03 16:20:29.000:	1673.15	994	1.68325
18133417_2008-05-03 16:20:36.000:	1240.07	817	1.51783
18133635_2008-05-03 16:21:44.000:	3278.28	2204	1.48742
18133624_2008-05-03 16:22:46.000:	2870.61	1710	1.67872
18133859_2008-05-03 16:22:55.000:	2983.49	1929	1.54665
18133749_2008-05-03 16:23:33.000:	2332.51	1525	1.52951
18133926_2008-05-03 16:24:50.000:	1439.56	697	2.06536
18133610_2008-05-03 16:28:10.000:	1456.31	744	1.9574
18133671_2008-05-03 16:30:00.000:	1512.22	961	1.57359
18132914_2008-05-03 16:34:06.000:	1267.45	875	1.44851
18134009_2008-05-03 16:37:01.000:	1280.22	711	1.8006
18133406_2008-05-03 16:37:08.000:	1994.64	1672	1.19297
18133750_2008-05-03 16:39:23.000:	1852.83	1460	1.26906
18133771_2008-05-03 16:42:15.000:	3004.92	1702	1.76552
18133169_2008-05-03 16:42:47.000:	2387.98	1515	1.57622
18133676_2008-05-03 16:43:32.000:	2362.92	1604	1.47314
18133624_2008-05-03 16:45:03.000:	1144.51	738	1.55082
18133402_2008-05-03 16:45:26.000:	905.584	476	1.90249
18133417_2008-05-03 16:48:37.000:	1200.31	660	1.81866
18133412_2008-05-03 16:50:19.000:	3611.2	2482	1.45496
18133642_2008-05-03 16:55:25.000:	3494.58	2469	1.41538
18133926_2008-05-03 16:57:04.000:	1287.92	782	1.64696
18133406_2008-05-03 16:58:55.000:	1260.78	742	1.69917
18133408_2008-05-03 17:01:10.000:	1435.32	790	1.81686
18133750_2008-05-03 17:04:00.000:	859.969	407	2.11295
18133859_2008-05-03 17:10:15.000:	2828.63	1880	1.50459
18133841_2008-05-03 17:12:20.000:	1003.55	540	1.85842
18134009_2008-05-03 17:12:24.000:	2511.73	1741	1.4427
18133170_2008-05-03 17:12:54.000:	2367.93	1967	1.20383
18133638_2008-05-03 17:21:00.000:	1751.63	1060	1.65248
18133553_2008-05-03 17:24:32.000:	1350.92	804	1.68025
18133736_2008-05-03 17:29:39.000:	3301.52	1585	2.08298
18133670_2008-05-03 17:30:16.000:	4118.86	2796	1.47313
18133438_2008-05-03 17:31:37.000:	950.723	524	1.81436
18133558_2008-05-03 17:32:09.000:	1843.97	1089	1.69327
18133529_2008-05-03 17:34:13.000:	1807.72	1088	1.66151
18133749_2008-05-03 17:35:31.000:	1019.25	485	2.10155
18133417_2008-05-03 17:44:56.000:	992.754	587	1.69123
18133926_2008-05-03 17:57:26.000:	3694.99	2367	1.56104
18133639_2008-05-03 17:57:58.000:	1280.2	795	1.61032
18133408_2008-05-03 18:00:52.000:	1439.12	818	1.75931
18133653_2008-05-03 18:02:47.000:	1736.29	1119	1.55164
18133771_2008-05-03 18:05:38.000:	1463.31	808	1.81103
18133635_2008-05-03 18:06:24.000:	1874.82	889	2.10891
18133642_2008-05-03 18:09:05.000:	1484.62	808	1.83741
18133406_2008-05-03 18:09:19.000:	1974.72	867	2.27764
18134009_2008-05-03 18:17:11.000:	932.283	529	1.76235
18133700_2008-05-03 18:20:55.000:	1452.31	1163	1.24876
18133639_2008-05-03 18:21:38.000:	605.515	629	0.962663
18133610_2008-05-03 18:24:03.000:	2070.36	1688	1.22652
