UPC	Description	Categories (self defined)	Department	Price	Categories (self defined)	Category Ave Price 
00003114235900	BELGIO PARM CUP GRATED	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$4.49 		6.4275
00007015330100	RON DELI CUP GRLC HERB LI	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$7.99 		6.4275
00007027700003	ATH BLUE CHSE CRMB DELI C	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$5.49 		6.4275
00020500000000	DELI CHEESE	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$4.99 		6.4275
00021639200000	UNIEKAAS YEL WAX GOUDA	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$16.49 		6.4275
00061461325310	CADY CRK BABY SWISS	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$5.49 		6.4275
00072883600123	GOLDYS SPREAD ARTICH CRAB	CHEESE SERVICE DELI	CHEESE SERVICE DELI	$5.99 		6.4275
00001230000003	CAMEL FILTER KING/BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00001230000007	CAMEL LT FILTER KING/BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00001230000012	WINSTON FILTER KING BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00001230000019	WINSTON LIGHTS-BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00001230020012	CAMEL ULTR LT 1-HARD	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00001230026655	WINSTON FULL FLVR BX 1S	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00002590020251	SWISHER SWEET CIGARILLO	CIGS/TOBACCO	CIGS/TOBACCO	$4.39 		4.8525
00002720000216	CAPRI 12'S BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00002720000238	CAPRI 1S BOX	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00002820000264	MARL BLND 27 KNG BOX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000357	MARLBORO KING BOX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000358	MARLBORO KING SOFT PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000361	MARLBORO MNTH KG BX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000363	MARLBORO 1S BOX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000365	MARLBORO MED KING BX	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000384	MARLBORO LIGHTS HARD PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000401	MARLBORO MNTHL KNG BX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000465	MARLBORO 1S LT BX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000477	MARLBORO ULT/LT KING BOX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000478	MARLBORO U/LT 1S BX PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.30 		4.8525
00002820000725	B/HDGES LT 1 MEN PACK	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00002820000743	VA SLIM ULT 1 PK	CIGS/TOBACCO	CIGS/TOBACCO	$4.55 		4.8525
00002820030172	MERIT ULT LT KNG BOX PK	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00004210000294	KODIAK WINTERGREEN SNUFF	CIGS/TOBACCO	CIGS/TOBACCO	$7.29 		4.8525
00004210000871	GRIZZLY LONG CUT WINTERGR	CIGS/TOBACCO	CIGS/TOBACCO	$3.79 		4.8525
00004210000910	GRIZZLY LONGCUT MINT	CIGS/TOBACCO	CIGS/TOBACCO	$3.79 		4.8525
00004330000016	PALL MALL KING-RED	CIGS/TOBACCO	CIGS/TOBACCO	$5.50 		4.8525
00004799585508	AMER SPIRIT REG HARD PK	CIGS/TOBACCO	CIGS/TOBACCO	$5.40 		4.8525
00004799585509	FSC AMERICAN SPIRIT LT HARD	CIGS/TOBACCO	CIGS/TOBACCO	$5.40 		4.8525
00007310000100	ROOSTER LONG CUT ICY MINT	CIGS/TOBACCO	CIGS/TOBACCO	$3.19 		4.8525
00007310000107	COPENHAGEN SNUFF	CIGS/TOBACCO	CIGS/TOBACCO	$7.29 		4.8525
00007717046537	TOP TOBACCO-POUCH	CIGS/TOBACCO	CIGS/TOBACCO	$2.39 		$4.85 
00001300000124	HEINZ KETCHUP (PLASTIC)	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.09 		$2.66 
00001300000605	HEINZ KETCHUP EASY SQUEEZ	CONDIMENTS/SAUCES/SPREADS	GROCERY	$3.19 		2.655238095
00001300000852	HEINZ WHITE VINEGAR	CONDIMENTS/SAUCES/SPREADS	GROCERY	$1.49 		2.655238095
00001540002783	WF SALAD MACARONI	CONDIMENTS/SAUCES/SPREADS	GROCERY	$1.59 		2.655238095
00001540005528	WF MUSTARD/SQUEEZE	CONDIMENTS/SAUCES/SPREADS	GROCERY	$1.89 		2.655238095
00002100064359	KRAFT DRESSING RANCH	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.49 		2.655238095
00002100064425	KRAFT DRESSING ITALIAN	CONDIMENTS/SAUCES/SPREADS	GROCERY	$3.69 		2.655238095
00002100077742	KRAFT MAYO BIG MOUTH	CONDIMENTS/SAUCES/SPREADS	GROCERY	$4.39 		2.655238095
00002700038249	HUNTS TOMATO KETCHUP	CONDIMENTS/SAUCES/SPREADS	GROCERY	$1.99 		2.655238095
00004119689101	PROGR SS BRDCM CNSTR SEA	CONDIMENTS/SAUCES/SPREADS	GROCERY	$1.65 		2.655238095
00004119689102	PROG BRD CRMB ITALIAN	CONDIMENTS/SAUCES/SPREADS	GROCERY	$2.89 		2.655238095
